,review_body,stars,language,translated_review
0,"Despues de esperar 6 semanas no me ha llegado el producto, cuando eran 4 semanas de espera. Me han dado el reembolso, no estoy contento.",1,es,"After waiting 6 weeks I have not received the product, when it was 4 weeks of waiting. They gave me a refund, I'm not happy."
1,"No está mal del todo de momento me está siendo muy útil para colocar un micro y un led que tengo, no obstante tengo que tener cuidado con la separación para el peso de cada cosa no desequilibre los brazos. xD Aun así muy bueno y ademas súper compacto para llevar a cualquier sitio.",4,es,"It's not bad at all, at the moment it is being very useful for placing a microphone and an LED that I have, however I have to be careful with the separation so that the weight of each thing does not unbalance my arms. xD Still very good and also super compact to take anywhere."
2,Muy comoda. Hace los gofres muy bien,5,es,Very comfortable. She makes waffles very well
3,No son tan bueno como parecen y además un auricular dura menos que el otro vamos no vale para nada,2,es,"They are not as good as they seem and also one headset lasts less than the other, it is worthless."
4,A veces no me pilla la carga. Ya me he llevado algún susto porque el móvil no se cargó por la noche...,3,es,Sometimes I don't get the load. I've already had some scares because my phone didn't charge at night...
5,"Para Reyes, a mi hija le encantó",5,es,"For Kings, my daughter loved it"
6,"Colonia 100% autentica a buen precio, estoy encantado, huele muy bien, compraré más ya que está más barato que en otros sitios.",5,es,"100% authentic cologne at a good price, I am delighted, it smells very good, I will buy more since it is cheaper than elsewhere."
7,"Funciona perfectamente. Única pega, le falta algún tipo de tope o enganche que impida que se desenchufe solo mientras lo usas colgando de la toma de corriente de la caravana. Ni he comprobado la resistencia a la lluvia",4,es,"It works perfectly. Only drawback, it lacks some type of stop or hook that prevents it from unplugging itself while you use it hanging from the caravan's power outlet. I haven't even checked the rain resistance"
8,"Muy bonita, color y tacto. Calidad muy mala, enseguida se pela.",4,es,"Very pretty, color and touch. Very bad quality, it peels right away."
9,"Descargada en un mes, no cumple.",2,es,"Downloaded in a month, it doesn't comply."
10,Soporte muy sencillo pero cumple en principio su cometido.,3,es,Very simple support but in principle it fulfills its purpose.
11,"No es lo que me esperaba, no me he quedado muy contento con la compra",2,es,"It's not what I expected, I'm not very happy with the purchase"
12,Están bien pero suena un pitido cuando hablas.y tiene un sonido envolvente.pero calidad precio esta bastante bien.para jugar en casa no está mal,3,es,They are good but there is a beep when you talk. And it has surround sound. But the quality and price is quite good. For playing at home it is not bad.
13,Ha llegado a tiempo. Lo que esperaba. Muy bonito,5,es,It has arrived on time. What I expected. Beautiful
14,"Me ha parecido súper pequeño el bote de champú. En comparación a la foto, pensaba que sería más grande. Supongo que será de buena calidad ya que todavía no lo he probado. La mascarilla es grande",4,es,"The shampoo bottle seemed super small to me. Compared to the photo, I thought it would be bigger. I assume it will be of good quality since I haven't tried it yet. The mask is big"
15,No es muy práctico.Las tetinas no admiten apenas cantidad y resultan incómodas para el bebé.,2,es,It is not very practical. The nipples hardly accept any amount and are uncomfortable for the baby.
16,Para nada alumbra 8000 lumens. Tengo una de 1000 lumens y se ve muchisimo mejor. Para mi un engaño.,1,es,It doesn't shine 8000 lumens at all. I have a 1000 lumens one and it looks much better. For me a deception.
17,"De las dos lámparas que compre una no alumbra casi nada, la otra funciona correctamente.",2,es,"Of the two lamps I bought, one gives almost no light, the other works correctly."
18,"Bastante manejable, aunque al no abrirse del todo, es algo difícil meter la uña",3,es,"Quite manageable, although as it does not open completely, it is somewhat difficult to insert your fingernail"
19,Lenta y poco amigable. MUY mejorable para los niños. No es una buena opción. Mejor tableta convencionales. No la aconsejo,2,es,Slow and unfriendly. VERY improvable for children. It's not a good option. Best conventional tablet. I don't advise it
20,Es pequeño como podéis ver en la foto por lo que no ocupa espacio ni molesta en el coche. Cumple perfectamnete su función. Estoy contento con él,5,es,It is small as you can see in the photo so it does not take up space or bother you in the car. It fulfills its function perfectly. I am happy with it
21,El espesor de la pared de la rosca externa es muy fino y no realiza un cierre estanco con un tapón.,2,es,The wall thickness of the external thread is very thin and does not provide a tight seal with a plug.
22,Interesante sin embargo a veces tedioso para leer,4,es,Interesting but sometimes tedious to read
23,Buen artículo. Posibilidad de funcionamiento a pilas o conexión USB cubre todas las opciones. Tiene múltiples funciones de iluminación. Muy recomendable.,4,es,Good article. Possibility of battery operation or USB connection covers all options. It has multiple lighting functions. Highly recommended.
24,"Fiel a la descripción del producto, buena calidad y perfecto para la canastilla del bebé recién nacido. Buena compra.",5,es,"Faithful to the product description, good quality and perfect for the newborn baby's basket. Good purchase."
25,"Al principio parecia errático su funcionamiento, pero es que si hay luz no se enciende, jajaja , de tan obvio no caí. Cumple y es verdaderamente cómodo, e ilumina perfectamente un armario esquinero. El material parece baratillo, pero tampoco debiera estar sometido a golpes, con lo que seria suficiente.",5,es,"At first its operation seemed erratic, but if there is a light it doesn't turn on, hahaha, I didn't fall for it because it was so obvious. It delivers and is truly comfortable, and perfectly illuminates a corner closet. The material seems cheap, but it shouldn't be subjected to knocks either, which would be enough."
26,En pocos días ha perdido varios de los cristales azules,3,es,In a few days he has lost several of the blue crystals
27,Sustituye y encaja a la perfección el mecanismo de Roca que tenía instalado. Muy Silencioso i fácil de ajustar. Recomiendo,4,es,It replaces and fits perfectly the Roca mechanism that was installed. Very quiet and easy to adjust. I recommend
28,Esta genial para ayudar a los niños a estudiar,5,es,It's great to help children study.
29,Los dos cristales tirados a la basura junto con mi dinero. Imposible instalarlos sin que quede lleno de burbujas. Que nadie compre este producto si no quiere estropear una mañana de sábado intentando un imposible,1,es,The two crystals thrown in the trash along with my money. Impossible to install them without it being full of bubbles. No one should buy this product if they don't want to ruin a Saturday morning trying something impossible.
30,Lo pongo y tapa el sensor de proximidad.,1,es,I put it on and it covers the proximity sensor.
31,Queda muy grande y ancho para mí. Si tienes una cabeza de 57 mejor compra otro con tallas pequeñas con este te sobran como dos dedos.,2,es,"It is too big and wide for me. If you have a head size of 57, it is better to buy another one with small sizes, with this one you will have about two fingers left."
32,"No me ha gustado nada el producto, los colores no tienen nada que ver con el color que se describe en las tapas, son mucho más oscuros, ejemplos, azul clarísimo es azul turquesa fuerte, marrón beige claro es marrón chocolate fortísimo, vamos nada q ver...otra cosa es la punta gruesa pintan mal, muy descontenta con la compra, lástima desechar la caja donde venían y ponerlos directamente en el bote que tenía nada más recibirlos, error grande, ya no podré devolverlos.",1,es,"I did not like the product at all, the colors have nothing to do with the color described on the covers, they are much darker, examples, very light blue is strong turquoise blue, light beige brown is very strong chocolate brown, come on, nothing that see...another thing is the thick tip, they look bad, very dissatisfied with the purchase, it's a shame to throw away the box they came in and put them directly in the jar that I had as soon as I received them, big mistake, I won't be able to return them."
33,"El maniquí está bien, tiene una buena cantidad de pelo, aunque se le cae bastante (espero que esto sea por ser nuevo). La calidad del pelo... no entiendo mucho sobre ello, aunque me lo imaginaba más suave (costó quitar los nudos con los que venía). Lo que no nos ha gustado ha sido como venía empaquetado, ya que viene todo dentro de un caja muy justa, y algunos accesorios están deformados y alguno roto, supongo que debido a la presión de todo metido en la caja (el maniquí era un regalo para mi sobrina, y, como no, se puso a jugar con él, si no hubiera pedido reemplazo por el tema de los accesorios). El agarre hace bien su función.",2,es,"The mannequin is fine, it has a good amount of hair, although it falls out a lot (I hope this is because it is new). The quality of the hair... I don't understand much about it, although I imagined it to be softer (it was difficult to remove the knots it came with). What we didn't like was how it was packaged, since everything comes in a very tight box, and some accessories are deformed and some broken, I suppose due to the pressure of everything being put in the box (the mannequin was a gift for my niece, and, of course, she started playing with it, if she hadn't asked for a replacement because of the accessories). The grip does its job well."
34,"La valoración negativa no es por el producto, ni por Amazon. La razón principal y única es el servicio de paqueteria de correos express, siempre que son ellos los encargados de la entrega ocurre algo. Espero q Amazon deje de trabajar con ellos",1,es,"The negative review is not because of the product, nor because of Amazon. The main and only reason is the express post parcel service, whenever they are in charge of delivery something happens. I hope Amazon stops working with them"
35,"Chicles un poco duros y dura poco su sabor, he comprado otros en paquete y no salen asi, la verdad que los pedir para rellenar un pedido de amazon plus",3,es,"The chewing gum is a little hard and its flavor lasts a little while, I have bought others in a package and they don't come out like that, the truth is that I order them to fill an Amazon Plus order"
36,"Después de casi 1 mes, no funciona con hormigas, con el resto de insectos, no lo se puesto que nunca he tenido otros que no sean hormigas, pero estas se ríen del aparato.",2,es,"After almost 1 month, it doesn't work with ants, with the rest of the insects, I don't know since I have never had anything other than ants, but they laugh at the device."
37,"Excelente se lo compre a mi mujer , la calidad y la costura muy buena sencillo de colocar , ahora viajamos algo mas seguros , buena compra",5,es,"Excellent, I bought it for my wife, the quality and sewing are very good, easy to put on, now we travel a little safer, good purchase"
38,"Al ser circumaurales son unos auriculares muy cómodos. El micrófono se desactiva simplemente con subirlo, y tiene control de volumen en el lado derecho. El audio no está nada mal. Los uso en la PS4 y en el Mac y va estupendamente. Recomendados.",4,es,"Being circumaural, they are very comfortable headphones. The microphone is deactivated simply by turning it up, and it has a volume control on the right side. The audio is not bad at all. I use them on the PS4 and the Mac and it works great. Recommended."
39,"Para el verano es genial para llenar globos de agua, no se desperdicia tanta agua como en fuentes o duchas y sirve para inflar globos de aire también.",5,es,"For the summer it is great for filling water balloons, you don't waste as much water as in fountains or showers and it can also be used to inflate air balloons."
40,Muy mala desagradable al tacto no la aconsejo y no es lo que parece en la foto nola aconsejo .,1,es,"Very bad, unpleasant to the touch, I do not recommend it and it is not what it looks like in the photo, I do not advise it."
41,Sintonización muy eficaz con mucha calidad de sonido. Recomendable.,5,es,Very efficient tuning with great sound quality. Recommendable.
42,"No carga bien, el reloj se calienta mucho",1,es,"It doesn't charge well, the watch gets very hot"
43,"Cumple su función, limpia que no tiene nada que envidiar a ningún otro limpiador y me encanta el olor. Lo mejor el dosificador, es de presión, pones el algodón encima, presionas hacia abajo y te lo va empapando.",5,es,"It does its job, it cleans like no other cleaner and I love the smell. The best thing is the dispenser, it is a pressure dispenser, you put the cotton on top, press down and it soaks it in."
44,"Lo utilizo en todas las carreras de larga distancia y es perfecto para llevar tanto geles,hidratación,suplementos y llaves y documentación",5,es,"I use it on all long-distance races and it is perfect for carrying gels, hydration, supplements, keys and documentation."
45,"A parte de que me llegó con unos días de retraso, lo peor ha sido que el unicornio recibido no tenía nada que ver con el de la fotografía, ni en forma ni en colores...",1,es,"Apart from the fact that it arrived a few days late, the worst thing was that the unicorn received had nothing to do with the one in the photograph, neither in shape nor colors..."
46,Muy bastos y el color muy oscuro. No me gustaron nada. Así que los de volveré. No cumplen con mi expectativa.,1,es,Very coarse and the color very dark. I didn't like them at all. So those of I will return. They don't meet my expectation.
47,Fatal la compré pensado que era plata y se hizo toda negra,1,es,Fatal I bought it thinking it was silver and it turned all black
48,Pides algo y te envian otro. Pesima preocupacion y pesimo servicio,1,es,You order something and they send you another. Terrible concern and terrible service
49,Riquísimas. Caja súper grande a muy buen precio.,5,es,Delicious. Super large box at a very good price.
50,"Llegó antes de lo esperado. Muy buena comunicación con el vendedor. El producto es mejor de lo que imaginada. Tiene un tacto muy sensible. Y la relación calidad, precio es lo mejor. Le doy un 10",5,es,It arrived earlier than expected. Very good communication with the seller. The product is better than imagined. It has a very sensitive touch. And the quality-price ratio is the best. I give it a 10
